model,MAE,RMSE,MAPE
arima,44.187252318071074,94.24581354066876,41.40912484810914
xgboost,28.917474156457025,65.34931427386664,26.25863516490489
lstm,31.631786321749157,79.181614627381,25.782233316071085
transformer,31.408376735302667,77.32174296483083,27.516159817547315
